id_image,reference,chemin_image
10-Feb,"Statuette trouvée sur l’agora d’Athènes, similaire à celle acquise par Fauvel, mais il ne s’agit pas de la même pièce. Musée de l’Agora (photo A. Zambon) : “Marble statuette of the three-figured goddess Hekate, 1st-2nd cent. A.C.”",/home/marine/Documents/Musee-Fauvel/base_de_donnees/43506
1002-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 r°.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1002-1
1002-2,"BnF, Manuscrits, suppl. grec. 560, f. 22 r°.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1002-2
1002-3,"Conze, Die Attischen Grabreliefs,Berlin, 1893-1922, I, pl. 62.
http://diglit.ub.uni-heidelberg.de/diglit/conze1893a/0001?page_query=62&navmode=struct&action=pagesearch&sid=89ffa6ff526ae48ae7ba3935dfdeedd2",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1002-3
1008-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 v°.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1008-1
1009-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1009-1
10-1,"BnF, Estampes, Gb 15 c, f. 29, n° 548.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/10-1
1010-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1010-1
1011-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1011-1
1012-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1012-1
1012-2,"BnF, Estampes, Gb 15 d (ex SNR-3 Fauvel), f. 463 (détail).",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1012-2
1013-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 117 recto.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1013-1
1015-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 117 recto.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1015-1
1015-2,"BnF, Estampes, Gb 15 d (ex SNR-3 Fauvel), f. 9.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1015-2
1015-3,"BnF, Estampes, Gb 15 d (ex SNR-3 Fauvel), f. 592.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1015-3
1015-4,"BnF, Estampes, Gb 15 a Fol., n° 216.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1015-4
1018-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 118 recto.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1018-1
1019-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 118 recto.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1019-1
1022-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 116 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1022-1
1023-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 123 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1023-1
1024-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 123 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1024-1
1024-2,"BnF, Estampes, Gb15 a Fol., f. 39, n° 256.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1024-2
1025-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 124 verso.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1025-1
1032-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 51 verso (croquis de Fauvel copié par A. Zambon).",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1032-1
1033-1,"Musée du Louvre, photo AGER, AG 023501.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1033-1
1036-1,"BnF, Estampes, Gb 15 d (ex SNR-3 Fauvel), f. 463.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1036-1
104-1,"BNF, Manuscrits, ms. fr. 22877, I, f. 112 recto.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/104-1
1041-1,"Musée du Louvre, photo AGER.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1041-1
1042-1,"A. Conze, Die attischen Grabreliefs, Berlin, 1906, III, pl. 286, n° 1360.
http://diglit.ub.uni-heidelberg.de/diglit/conze1906bd3/0029?sid=8961d05892b1b97f6373e850f175f4d1",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1042-1
1042-2,"M. Hamiaux, Les sculptures grecques, I, Paris, 2001, n° 186.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1042-2
1043-1,"Musée du Louvre, photo AGER.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1043-1
1049-1,"B. D. Meritt, ""Greek Inscriptions"", Hesperia 37/3 (1968), p. 266-298, partic. p. 273, n° 12, pl. 79.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1049-1
105-1,"BnF, Estampes, Gb 15 d (ex SNR-3 Fauvel), f. 449.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/105-1
1051-1,"BnF, Estampes, Gb 15 d (ex SNR-3 Fauvel), f. 132.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1051-1
1051-2,"J.R. McCredie, G. Roux et al., Samothrace, 7, The Rotunda of Arsinoe, Princeton, 1992, p. 226, fig. 144.
",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1051-2
1051-3,"S. E. Winboldt, « Ancient sculptured marbles at Bignor Park, Sussex », JHS, 48 (1928), p. 181, fig. 3.",/home/marine/Documents/Musee-Fauvel/base_de_donnees/1051-3
